,player,balloon_color,window_start,window_end,pop_count,score_in_window,bonus_hits
41,Doraemon,white,2025-02-05 11:09:30+00:00,2025-02-05 11:09:40+00:00,3,210,3
42,Scooby_Doo,yellow,2025-02-05 11:08:00+00:00,2025-02-05 11:08:10+00:00,1,50,0
43,Homer_Simpson,blue,2025-02-05 14:57:30+00:00,2025-02-05 14:57:40+00:00,1,75,1
44,Pikachu,red,2025-02-05 14:29:00+00:00,2025-02-05 14:29:10+00:00,1,100,1
45,Scooby_Doo,green,2025-02-05 14:19:50+00:00,2025-02-05 14:20:00+00:00,2,120,2
46,Tom,grey,2025-02-05 14:19:20+00:00,2025-02-05 14:19:30+00:00,1,45,1
47,Scooby_Doo,green,2025-02-05 14:05:50+00:00,2025-02-05 14:06:00+00:00,1,60,1
48,Doraemon,green,2025-02-05 13:49:10+00:00,2025-02-05 13:49:20+00:00,1,60,0
49,Scooby_Doo,brown,2025-02-05 13:39:00+00:00,2025-02-05 13:39:10+00:00,1,35,1
50,Jerry,yellow,2025-02-05 13:31:50+00:00,2025-02-05 13:32:00+00:00,1,50,1
51,Pikachu,red,2025-02-05 13:29:10+00:00,2025-02-05 13:29:20+00:00,1,100,1
52,Homer_Simpson,green,2025-02-05 13:21:40+00:00,2025-02-05 13:21:50+00:00,1,60,0
53,Jerry,brown,2025-02-05 13:18:00+00:00,2025-02-05 13:18:10+00:00,1,35,1
54,Jerry,yellow,2025-02-05 13:10:20+00:00,2025-02-05 13:10:30+00:00,1,50,1
55,Bugs_Bunny,orange,2025-02-05 13:08:30+00:00,2025-02-05 13:08:40+00:00,2,60,2
56,Scooby_Doo,white,2025-02-05 13:07:30+00:00,2025-02-05 13:07:40+00:00,1,70,0
57,Doraemon,yellow,2025-02-05 13:04:30+00:00,2025-02-05 13:04:40+00:00,1,50,0
58,SpongeBob,blue,2025-02-05 13:00:10+00:00,2025-02-05 13:00:20+00:00,1,75,1
59,Tom,grey,2025-02-05 12:43:20+00:00,2025-02-05 12:43:30+00:00,2,90,2
60,Mickey,black,2025-02-05 12:41:00+00:00,2025-02-05 12:41:10+00:00,1,80,1
61,SpongeBob,brown,2025-02-05 12:33:10+00:00,2025-02-05 12:33:20+00:00,1,35,0
62,Homer_Simpson,yellow,2025-02-05 12:33:00+00:00,2025-02-05 12:33:10+00:00,1,50,1
63,Bugs_Bunny,grey,2025-02-05 12:29:20+00:00,2025-02-05 12:29:30+00:00,1,45,1
64,SpongeBob,brown,2025-02-05 12:26:40+00:00,2025-02-05 12:26:50+00:00,1,35,0
65,Bugs_Bunny,grey,2025-02-05 12:23:20+00:00,2025-02-05 12:23:30+00:00,1,45,1
66,Jerry,orange,2025-02-05 12:19:00+00:00,2025-02-05 12:19:10+00:00,1,30,0
67,Homer_Simpson,yellow,2025-02-05 12:10:40+00:00,2025-02-05 12:10:50+00:00,1,50,1
68,Scooby_Doo,purple,2025-02-05 12:06:00+00:00,2025-02-05 12:06:10+00:00,1,40,0
69,Bugs_Bunny,orange,2025-02-05 12:03:40+00:00,2025-02-05 12:03:50+00:00,1,30,1
70,SpongeBob,yellow,2025-02-05 12:03:20+00:00,2025-02-05 12:03:30+00:00,1,50,1
71,Pikachu,red,2025-02-05 12:02:30+00:00,2025-02-05 12:02:40+00:00,1,100,1
72,Homer_Simpson,yellow,2025-02-05 11:54:50+00:00,2025-02-05 11:55:00+00:00,2,100,2
73,Bugs_Bunny,orange,2025-02-05 11:54:10+00:00,2025-02-05 11:54:20+00:00,3,90,3
74,Homer_Simpson,yellow,2025-02-05 11:42:30+00:00,2025-02-05 11:42:40+00:00,2,100,2
75,Mickey,white,2025-02-05 11:40:40+00:00,2025-02-05 11:40:50+00:00,1,70,0
76,Scooby_Doo,green,2025-02-05 11:33:50+00:00,2025-02-05 11:34:00+00:00,1,60,1
77,Doraemon,blue,2025-02-05 11:30:20+00:00,2025-02-05 11:30:30+00:00,2,150,2
78,SpongeBob,grey,2025-02-05 11:30:20+00:00,2025-02-05 11:30:30+00:00,1,45,0
79,Pikachu,red,2025-02-05 11:27:40+00:00,2025-02-05 11:27:50+00:00,1,100,1
80,Tom,grey,2025-02-05 11:27:00+00:00,2025-02-05 11:27:10+00:00,2,90,2
81,Doraemon,blue,2025-02-05 11:23:00+00:00,2025-02-05 11:23:10+00:00,2,150,2
82,Bugs_Bunny,grey,2025-02-05 11:22:50+00:00,2025-02-05 11:23:00+00:00,2,90,2
83,Pikachu,white,2025-02-05 11:21:50+00:00,2025-02-05 11:22:00+00:00,1,70,0
84,Homer_Simpson,yellow,2025-02-05 11:16:40+00:00,2025-02-05 11:16:50+00:00,1,50,1
85,SpongeBob,white,2025-02-05 11:16:20+00:00,2025-02-05 11:16:30+00:00,1,70,0
86,Mickey,red,2025-02-05 11:12:20+00:00,2025-02-05 11:12:30+00:00,1,100,1
87,SpongeBob,yellow,2025-02-05 11:07:00+00:00,2025-02-05 11:07:10+00:00,1,50,1
88,Tom,red,2025-02-05 11:05:50+00:00,2025-02-05 11:06:00+00:00,1,100,0
89,Tom,blue,2025-02-05 11:04:00+00:00,2025-02-05 11:04:10+00:00,2,150,2
90,SpongeBob,yellow,2025-02-05 14:35:50+00:00,2025-02-05 14:36:00+00:00,1,50,1
91,Doraemon,white,2025-02-05 14:33:30+00:00,2025-02-05 14:33:40+00:00,1,70,1
92,Pikachu,brown,2025-02-05 14:31:30+00:00,2025-02-05 14:31:40+00:00,1,35,0
93,Doraemon,purple,2025-02-05 14:28:30+00:00,2025-02-05 14:28:40+00:00,1,40,0
94,Scooby_Doo,grey,2025-02-05 14:25:40+00:00,2025-02-05 14:25:50+00:00,1,45,0
95,Doraemon,blue,2025-02-05 14:13:20+00:00,2025-02-05 14:13:30+00:00,1,75,1
96,SpongeBob,red,2025-02-05 14:10:00+00:00,2025-02-05 14:10:10+00:00,1,100,0
97,Tom,blue,2025-02-05 14:07:20+00:00,2025-02-05 14:07:30+00:00,1,75,1
98,Homer_Simpson,brown,2025-02-05 14:03:00+00:00,2025-02-05 14:03:10+00:00,1,35,0
99,SpongeBob,black,2025-02-05 14:00:10+00:00,2025-02-05 14:00:20+00:00,1,80,0
100,Scooby_Doo,green,2025-02-05 13:59:30+00:00,2025-02-05 13:59:40+00:00,1,60,1
101,Pikachu,yellow,2025-02-05 13:52:30+00:00,2025-02-05 13:52:40+00:00,1,50,1
102,Mickey,green,2025-02-05 13:52:20+00:00,2025-02-05 13:52:30+00:00,1,60,0
103,Pikachu,grey,2025-02-05 13:47:10+00:00,2025-02-05 13:47:20+00:00,1,45,0
104,Doraemon,white,2025-02-05 13:40:30+00:00,2025-02-05 13:40:40+00:00,1,70,1
105,Doraemon,red,2025-02-05 13:39:50+00:00,2025-02-05 13:40:00+00:00,1,100,0
106,Mickey,black,2025-02-05 13:37:50+00:00,2025-02-05 13:38:00+00:00,1,80,1
107,Jerry,brown,2025-02-05 13:30:40+00:00,2025-02-05 13:30:50+00:00,1,35,1
108,Bugs_Bunny,grey,2025-02-05 13:28:20+00:00,2025-02-05 13:28:30+00:00,1,45,1
109,Scooby_Doo,white,2025-02-05 13:27:00+00:00,2025-02-05 13:27:10+00:00,1,70,0
110,Mickey,black,2025-02-05 13:21:30+00:00,2025-02-05 13:21:40+00:00,3,240,3
111,Scooby_Doo,purple,2025-02-05 13:14:00+00:00,2025-02-05 13:14:10+00:00,1,40,0
112,Tom,grey,2025-02-05 13:13:00+00:00,2025-02-05 13:13:10+00:00,1,45,1
113,Scooby_Doo,white,2025-02-05 13:11:50+00:00,2025-02-05 13:12:00+00:00,1,70,0
114,Mickey,green,2025-02-05 12:55:00+00:00,2025-02-05 12:55:10+00:00,1,60,0
115,Mickey,purple,2025-02-05 12:48:30+00:00,2025-02-05 12:48:40+00:00,1,40,0
116,Tom,white,2025-02-05 12:38:50+00:00,2025-02-05 12:39:00+00:00,1,70,0
117,Jerry,blue,2025-02-05 12:31:50+00:00,2025-02-05 12:32:00+00:00,1,75,0
118,Homer_Simpson,white,2025-02-05 12:26:10+00:00,2025-02-05 12:26:20+00:00,1,70,0
119,Mickey,red,2025-02-05 11:52:50+00:00,2025-02-05 11:53:00+00:00,1,100,1
120,Tom,grey,2025-02-05 11:48:10+00:00,2025-02-05 11:48:20+00:00,1,45,1
121,Mickey,orange,2025-02-05 11:38:40+00:00,2025-02-05 11:38:50+00:00,1,30,0
122,Pikachu,yellow,2025-02-05 14:44:30+00:00,2025-02-05 14:44:40+00:00,1,50,1
123,Scooby_Doo,orange,2025-02-05 14:35:00+00:00,2025-02-05 14:35:10+00:00,1,30,0
124,SpongeBob,blue,2025-02-05 14:32:00+00:00,2025-02-05 14:32:10+00:00,1,75,1
125,Bugs_Bunny,grey,2025-02-05 14:30:10+00:00,2025-02-05 14:30:20+00:00,1,45,1
126,SpongeBob,yellow,2025-02-05 14:24:30+00:00,2025-02-05 14:24:40+00:00,1,50,1
127,Scooby_Doo,brown,2025-02-05 14:12:20+00:00,2025-02-05 14:12:30+00:00,1,35,1
128,Mickey,red,2025-02-05 14:10:20+00:00,2025-02-05 14:10:30+00:00,2,200,2
129,Jerry,grey,2025-02-05 14:09:10+00:00,2025-02-05 14:09:20+00:00,1,45,0
130,Doraemon,blue,2025-02-05 13:39:20+00:00,2025-02-05 13:39:30+00:00,1,75,1
131,Tom,grey,2025-02-05 13:37:40+00:00,2025-02-05 13:37:50+00:00,1,45,1
132,SpongeBob,yellow,2025-02-05 13:33:00+00:00,2025-02-05 13:33:10+00:00,2,100,2
133,Scooby_Doo,green,2025-02-05 13:30:10+00:00,2025-02-05 13:30:20+00:00,1,60,1
134,Tom,blue,2025-02-05 13:29:30+00:00,2025-02-05 13:29:40+00:00,3,225,3
135,Pikachu,yellow,2025-02-05 13:27:10+00:00,2025-02-05 13:27:20+00:00,1,50,1
136,Pikachu,brown,2025-02-05 13:26:10+00:00,2025-02-05 13:26:20+00:00,1,35,0
137,Tom,black,2025-02-05 13:24:30+00:00,2025-02-05 13:24:40+00:00,1,80,0
138,Jerry,white,2025-02-05 13:16:40+00:00,2025-02-05 13:16:50+00:00,1,70,0
139,Homer_Simpson,blue,2025-02-05 13:09:40+00:00,2025-02-05 13:09:50+00:00,1,75,1
140,Jerry,black,2025-02-05 13:07:50+00:00,2025-02-05 13:08:00+00:00,1,80,0
141,Pikachu,purple,2025-02-05 13:07:00+00:00,2025-02-05 13:07:10+00:00,1,40,0
142,Pikachu,red,2025-02-05 12:57:00+00:00,2025-02-05 12:57:10+00:00,1,100,1
143,Bugs_Bunny,yellow,2025-02-05 12:56:10+00:00,2025-02-05 12:56:20+00:00,1,50,0
144,Pikachu,red,2025-02-05 12:54:40+00:00,2025-02-05 12:54:50+00:00,1,100,1
145,SpongeBob,brown,2025-02-05 12:44:10+00:00,2025-02-05 12:44:20+00:00,1,35,0
146,Homer_Simpson,brown,2025-02-05 12:41:20+00:00,2025-02-05 12:41:30+00:00,1,35,0
147,Pikachu,yellow,2025-02-05 12:24:40+00:00,2025-02-05 12:24:50+00:00,1,50,1
148,Bugs_Bunny,orange,2025-02-05 12:23:30+00:00,2025-02-05 12:23:40+00:00,1,30,1
149,Mickey,black,2025-02-05 12:20:50+00:00,2025-02-05 12:21:00+00:00,1,80,1
150,Bugs_Bunny,brown,2025-02-05 12:13:40+00:00,2025-02-05 12:13:50+00:00,1,35,0
151,Doraemon,green,2025-02-05 12:09:20+00:00,2025-02-05 12:09:30+00:00,1,60,0
152,Bugs_Bunny,grey,2025-02-05 12:02:50+00:00,2025-02-05 12:03:00+00:00,1,45,1
153,Scooby_Doo,yellow,2025-02-05 11:59:20+00:00,2025-02-05 11:59:30+00:00,1,50,0
154,Jerry,yellow,2025-02-05 11:58:30+00:00,2025-02-05 11:58:40+00:00,1,50,1
155,Doraemon,blue,2025-02-05 11:42:10+00:00,2025-02-05 11:42:20+00:00,1,75,1
156,Tom,red,2025-02-05 11:38:20+00:00,2025-02-05 11:38:30+00:00,1,100,0
157,Doraemon,blue,2025-02-05 11:38:00+00:00,2025-02-05 11:38:10+00:00,1,75,1
158,Bugs_Bunny,grey,2025-02-05 11:35:40+00:00,2025-02-05 11:35:50+00:00,1,45,1
159,Jerry,white,2025-02-05 11:34:10+00:00,2025-02-05 11:34:20+00:00,1,70,0
160,Doraemon,blue,2025-02-05 11:32:10+00:00,2025-02-05 11:32:20+00:00,2,150,2
161,SpongeBob,blue,2025-02-05 11:26:20+00:00,2025-02-05 11:26:30+00:00,1,75,1
162,Bugs_Bunny,orange,2025-02-05 11:21:50+00:00,2025-02-05 11:22:00+00:00,1,30,1
163,Jerry,brown,2025-02-05 11:15:10+00:00,2025-02-05 11:15:20+00:00,1,35,1
164,Bugs_Bunny,orange,2025-02-05 11:14:40+00:00,2025-02-05 11:14:50+00:00,1,30,1
165,Tom,blue,2025-02-05 11:13:30+00:00,2025-02-05 11:13:40+00:00,1,75,1
166,SpongeBob,yellow,2025-02-05 11:09:00+00:00,2025-02-05 11:09:10+00:00,1,50,1
167,Mickey,red,2025-02-05 11:07:20+00:00,2025-02-05 11:07:30+00:00,1,100,1
168,Doraemon,blue,2025-02-05 11:06:30+00:00,2025-02-05 11:06:40+00:00,1,75,1
169,Doraemon,blue,2025-02-05 11:05:40+00:00,2025-02-05 11:05:50+00:00,1,75,1
170,Doraemon,black,2025-02-05 11:05:10+00:00,2025-02-05 11:05:20+00:00,1,80,0
171,Bugs_Bunny,blue,2025-02-05 14:46:10+00:00,2025-02-05 14:46:20+00:00,1,75,0
172,Tom,blue,2025-02-05 14:38:40+00:00,2025-02-05 14:38:50+00:00,1,75,1
173,Homer_Simpson,blue,2025-02-05 14:37:50+00:00,2025-02-05 14:38:00+00:00,1,75,1
174,Jerry,blue,2025-02-05 14:34:30+00:00,2025-02-05 14:34:40+00:00,1,75,0
175,Jerry,yellow,2025-02-05 14:24:50+00:00,2025-02-05 14:25:00+00:00,1,50,1
176,Scooby_Doo,brown,2025-02-05 14:18:40+00:00,2025-02-05 14:18:50+00:00,1,35,1
177,Pikachu,yellow,2025-02-05 14:18:20+00:00,2025-02-05 14:18:30+00:00,1,50,1
178,Doraemon,black,2025-02-05 14:17:30+00:00,2025-02-05 14:17:40+00:00,1,80,0
179,Homer_Simpson,blue,2025-02-05 14:16:20+00:00,2025-02-05 14:16:30+00:00,3,225,3
180,Scooby_Doo,yellow,2025-02-05 14:14:10+00:00,2025-02-05 14:14:20+00:00,1,50,0
181,Homer_Simpson,yellow,2025-02-05 14:12:10+00:00,2025-02-05 14:12:20+00:00,2,100,2
182,Mickey,white,2025-02-05 14:07:20+00:00,2025-02-05 14:07:30+00:00,1,70,0
183,Jerry,brown,2025-02-05 14:06:00+00:00,2025-02-05 14:06:10+00:00,1,35,1
184,Scooby_Doo,green,2025-02-05 14:05:10+00:00,2025-02-05 14:05:20+00:00,2,120,2
185,Pikachu,yellow,2025-02-05 14:05:00+00:00,2025-02-05 14:05:10+00:00,1,50,1
186,Jerry,brown,2025-02-05 14:00:30+00:00,2025-02-05 14:00:40+00:00,1,35,1
187,Mickey,red,2025-02-05 13:58:40+00:00,2025-02-05 13:58:50+00:00,1,100,1
188,Jerry,brown,2025-02-05 13:57:40+00:00,2025-02-05 13:57:50+00:00,1,35,1
189,Scooby_Doo,green,2025-02-05 13:36:40+00:00,2025-02-05 13:36:50+00:00,1,60,1
190,Jerry,yellow,2025-02-05 13:34:20+00:00,2025-02-05 13:34:30+00:00,1,50,1
191,Homer_Simpson,grey,2025-02-05 13:32:10+00:00,2025-02-05 13:32:20+00:00,1,45,0
192,Pikachu,red,2025-02-05 13:29:00+00:00,2025-02-05 13:29:10+00:00,1,100,1
193,Pikachu,blue,2025-02-05 13:24:20+00:00,2025-02-05 13:24:30+00:00,1,75,0
194,Scooby_Doo,brown,2025-02-05 13:20:50+00:00,2025-02-05 13:21:00+00:00,2,70,2
195,Bugs_Bunny,grey,2025-02-05 13:17:20+00:00,2025-02-05 13:17:30+00:00,1,45,1
196,Jerry,yellow,2025-02-05 13:14:40+00:00,2025-02-05 13:14:50+00:00,1,50,1
197,Bugs_Bunny,grey,2025-02-05 12:57:10+00:00,2025-02-05 12:57:20+00:00,1,45,1
198,Homer_Simpson,blue,2025-02-05 12:55:20+00:00,2025-02-05 12:55:30+00:00,1,75,1
199,Mickey,black,2025-02-05 12:48:00+00:00,2025-02-05 12:48:10+00:00,1,80,1
200,Pikachu,red,2025-02-05 12:47:30+00:00,2025-02-05 12:47:40+00:00,1,100,1
201,Mickey,red,2025-02-05 12:46:00+00:00,2025-02-05 12:46:10+00:00,1,100,1
202,Doraemon,blue,2025-02-05 12:38:20+00:00,2025-02-05 12:38:30+00:00,1,75,1
203,SpongeBob,grey,2025-02-05 12:38:20+00:00,2025-02-05 12:38:30+00:00,1,45,0
204,Mickey,red,2025-02-05 12:37:30+00:00,2025-02-05 12:37:40+00:00,1,100,1
205,Scooby_Doo,green,2025-02-05 12:37:10+00:00,2025-02-05 12:37:20+00:00,1,60,1
206,Bugs_Bunny,grey,2025-02-05 12:35:40+00:00,2025-02-05 12:35:50+00:00,3,135,3
207,Pikachu,red,2025-02-05 11:59:20+00:00,2025-02-05 11:59:30+00:00,1,100,1
208,Tom,blue,2025-02-05 11:58:40+00:00,2025-02-05 11:58:50+00:00,1,75,1
209,Scooby_Doo,brown,2025-02-05 11:55:50+00:00,2025-02-05 11:56:00+00:00,1,35,1
210,Tom,blue,2025-02-05 11:51:30+00:00,2025-02-05 11:51:40+00:00,1,75,1
211,Jerry,white,2025-02-05 11:48:00+00:00,2025-02-05 11:48:10+00:00,1,70,0
212,SpongeBob,red,2025-02-05 11:45:50+00:00,2025-02-05 11:46:00+00:00,1,100,0
213,Homer_Simpson,orange,2025-02-05 11:41:30+00:00,2025-02-05 11:41:40+00:00,1,30,0
214,SpongeBob,blue,2025-02-05 11:30:10+00:00,2025-02-05 11:30:20+00:00,2,150,2
215,Tom,grey,2025-02-05 11:12:20+00:00,2025-02-05 11:12:30+00:00,1,45,1
216,SpongeBob,yellow,2025-02-05 11:09:50+00:00,2025-02-05 11:10:00+00:00,1,50,1
217,Jerry,brown,2025-02-05 11:06:40+00:00,2025-02-05 11:06:50+00:00,1,35,1
218,Doraemon,black,2025-02-05 14:40:00+00:00,2025-02-05 14:40:10+00:00,1,80,0
219,Homer_Simpson,blue,2025-02-05 14:38:00+00:00,2025-02-05 14:38:10+00:00,1,75,1
220,Bugs_Bunny,black,2025-02-05 14:33:40+00:00,2025-02-05 14:33:50+00:00,1,80,0
221,Homer_Simpson,blue,2025-02-05 14:26:00+00:00,2025-02-05 14:26:10+00:00,1,75,1
222,Mickey,red,2025-02-05 14:20:20+00:00,2025-02-05 14:20:30+00:00,1,100,1
223,Mickey,black,2025-02-05 14:19:50+00:00,2025-02-05 14:20:00+00:00,1,80,1
224,Jerry,brown,2025-02-05 14:17:40+00:00,2025-02-05 14:17:50+00:00,1,35,1
225,Mickey,blue,2025-02-05 14:16:20+00:00,2025-02-05 14:16:30+00:00,1,75,0
226,Bugs_Bunny,grey,2025-02-05 14:08:30+00:00,2025-02-05 14:08:40+00:00,1,45,1
227,Pikachu,yellow,2025-02-05 14:05:40+00:00,2025-02-05 14:05:50+00:00,1,50,1
228,Doraemon,red,2025-02-05 13:40:50+00:00,2025-02-05 13:41:00+00:00,1,100,0
229,Doraemon,blue,2025-02-05 13:32:20+00:00,2025-02-05 13:32:30+00:00,2,150,2
230,Tom,blue,2025-02-05 13:29:20+00:00,2025-02-05 13:29:30+00:00,1,75,1
231,Jerry,brown,2025-02-05 13:26:20+00:00,2025-02-05 13:26:30+00:00,1,35,1
232,Pikachu,purple,2025-02-05 13:23:00+00:00,2025-02-05 13:23:10+00:00,1,40,0
233,Tom,grey,2025-02-05 13:18:10+00:00,2025-02-05 13:18:20+00:00,1,45,1
234,Jerry,brown,2025-02-05 13:13:40+00:00,2025-02-05 13:13:50+00:00,2,70,2
235,Doraemon,blue,2025-02-05 13:11:50+00:00,2025-02-05 13:12:00+00:00,2,150,2
236,Scooby_Doo,brown,2025-02-05 13:07:00+00:00,2025-02-05 13:07:10+00:00,1,35,1
237,SpongeBob,blue,2025-02-05 12:58:10+00:00,2025-02-05 12:58:20+00:00,1,75,1
238,Tom,grey,2025-02-05 12:56:20+00:00,2025-02-05 12:56:30+00:00,1,45,1
239,Pikachu,yellow,2025-02-05 12:53:20+00:00,2025-02-05 12:53:30+00:00,1,50,1
240,Bugs_Bunny,orange,2025-02-05 12:52:20+00:00,2025-02-05 12:52:30+00:00,1,30,1
241,Jerry,red,2025-02-05 12:50:00+00:00,2025-02-05 12:50:10+00:00,1,100,0
242,Doraemon,orange,2025-02-05 12:48:10+00:00,2025-02-05 12:48:20+00:00,1,30,0
243,Pikachu,red,2025-02-05 12:42:30+00:00,2025-02-05 12:42:40+00:00,1,100,1
244,Tom,blue,2025-02-05 12:40:40+00:00,2025-02-05 12:40:50+00:00,1,75,1
245,Pikachu,yellow,2025-02-05 12:36:50+00:00,2025-02-05 12:37:00+00:00,2,100,2
246,Pikachu,black,2025-02-05 12:25:50+00:00,2025-02-05 12:26:00+00:00,1,80,0
247,Doraemon,white,2025-02-05 12:21:10+00:00,2025-02-05 12:21:20+00:00,1,70,1
248,Doraemon,grey,2025-02-05 12:20:00+00:00,2025-02-05 12:20:10+00:00,1,45,0
249,Homer_Simpson,white,2025-02-05 12:18:40+00:00,2025-02-05 12:18:50+00:00,1,70,0
250,Doraemon,white,2025-02-05 12:14:00+00:00,2025-02-05 12:14:10+00:00,1,70,1
251,Homer_Simpson,blue,2025-02-05 12:10:20+00:00,2025-02-05 12:10:30+00:00,1,75,1
252,SpongeBob,yellow,2025-02-05 12:09:50+00:00,2025-02-05 12:10:00+00:00,1,50,1
253,Doraemon,blue,2025-02-05 11:55:30+00:00,2025-02-05 11:55:40+00:00,1,75,1
254,Tom,blue,2025-02-05 11:38:50+00:00,2025-02-05 11:39:00+00:00,1,75,1
255,Homer_Simpson,blue,2025-02-05 11:36:20+00:00,2025-02-05 11:36:30+00:00,2,150,2
256,Jerry,yellow,2025-02-05 11:35:20+00:00,2025-02-05 11:35:30+00:00,1,50,1
257,Mickey,black,2025-02-05 11:33:50+00:00,2025-02-05 11:34:00+00:00,1,80,1
258,Jerry,brown,2025-02-05 11:32:20+00:00,2025-02-05 11:32:30+00:00,1,35,1
259,Mickey,red,2025-02-05 11:27:20+00:00,2025-02-05 11:27:30+00:00,1,100,1
260,Mickey,black,2025-02-05 11:22:20+00:00,2025-02-05 11:22:30+00:00,1,80,1
261,Jerry,grey,2025-02-05 11:18:20+00:00,2025-02-05 11:18:30+00:00,1,45,0
262,Jerry,yellow,2025-02-05 11:13:10+00:00,2025-02-05 11:13:20+00:00,1,50,1
263,Homer_Simpson,yellow,2025-02-05 11:11:40+00:00,2025-02-05 11:11:50+00:00,1,50,1
264,Scooby_Doo,green,2025-02-05 11:06:00+00:00,2025-02-05 11:06:10+00:00,1,60,1
265,Doraemon,white,2025-02-05 11:04:20+00:00,2025-02-05 11:04:30+00:00,2,140,2
266,Tom,white,2025-02-05 14:43:40+00:00,2025-02-05 14:43:50+00:00,1,70,0
267,Pikachu,yellow,2025-02-05 14:29:20+00:00,2025-02-05 14:29:30+00:00,1,50,1
268,SpongeBob,white,2025-02-05 14:18:30+00:00,2025-02-05 14:18:40+00:00,1,70,0
269,Homer_Simpson,grey,2025-02-05 14:17:00+00:00,2025-02-05 14:17:10+00:00,1,45,0
