,player,window_start,window_end,pop_count,score_in_window
62,Jerry,2025-02-05 14:36:50+00:00,2025-02-05 14:37:00+00:00,1,35
63,Mickey,2025-02-05 14:29:20+00:00,2025-02-05 14:29:30+00:00,3,260
64,Scooby_Doo,2025-02-05 14:21:20+00:00,2025-02-05 14:21:30+00:00,1,35
65,Scooby_Doo,2025-02-05 14:09:10+00:00,2025-02-05 14:09:20+00:00,1,60
66,Bugs_Bunny,2025-02-05 14:08:30+00:00,2025-02-05 14:08:40+00:00,3,150
67,Tom,2025-02-05 14:04:00+00:00,2025-02-05 14:04:10+00:00,1,75
68,Pikachu,2025-02-05 14:03:10+00:00,2025-02-05 14:03:20+00:00,1,50
69,SpongeBob,2025-02-05 13:30:40+00:00,2025-02-05 13:30:50+00:00,1,75
70,Pikachu,2025-02-05 13:17:50+00:00,2025-02-05 13:18:00+00:00,2,145
71,Pikachu,2025-02-05 13:17:20+00:00,2025-02-05 13:17:30+00:00,1,45
72,Scooby_Doo,2025-02-05 13:07:50+00:00,2025-02-05 13:08:00+00:00,2,95
73,Pikachu,2025-02-05 12:57:10+00:00,2025-02-05 12:57:20+00:00,1,75
74,SpongeBob,2025-02-05 12:52:00+00:00,2025-02-05 12:52:10+00:00,1,50
75,Tom,2025-02-05 12:49:00+00:00,2025-02-05 12:49:10+00:00,1,75
76,Pikachu,2025-02-05 12:48:30+00:00,2025-02-05 12:48:40+00:00,1,100
77,Bugs_Bunny,2025-02-05 12:39:10+00:00,2025-02-05 12:39:20+00:00,1,100
78,Pikachu,2025-02-05 12:35:40+00:00,2025-02-05 12:35:50+00:00,1,100
79,Jerry,2025-02-05 12:32:30+00:00,2025-02-05 12:32:40+00:00,1,70
80,Mickey,2025-02-05 12:31:00+00:00,2025-02-05 12:31:10+00:00,3,220
81,Homer_Simpson,2025-02-05 12:16:10+00:00,2025-02-05 12:16:20+00:00,1,75
82,Mickey,2025-02-05 12:12:20+00:00,2025-02-05 12:12:30+00:00,3,260
83,Mickey,2025-02-05 12:11:50+00:00,2025-02-05 12:12:00+00:00,1,70
84,Jerry,2025-02-05 12:05:20+00:00,2025-02-05 12:05:30+00:00,1,70
85,Tom,2025-02-05 11:56:30+00:00,2025-02-05 11:56:40+00:00,1,75
86,Mickey,2025-02-05 11:50:30+00:00,2025-02-05 11:50:40+00:00,1,100
87,SpongeBob,2025-02-05 11:43:50+00:00,2025-02-05 11:44:00+00:00,1,75
88,SpongeBob,2025-02-05 11:31:20+00:00,2025-02-05 11:31:30+00:00,1,75
89,Tom,2025-02-05 11:28:30+00:00,2025-02-05 11:28:40+00:00,1,45
90,Bugs_Bunny,2025-02-05 11:26:10+00:00,2025-02-05 11:26:20+00:00,1,30
91,Scooby_Doo,2025-02-05 11:25:00+00:00,2025-02-05 11:25:10+00:00,1,50
92,Doraemon,2025-02-05 11:09:50+00:00,2025-02-05 11:10:00+00:00,1,70
93,SpongeBob,2025-02-05 14:47:00+00:00,2025-02-05 14:47:10+00:00,1,30
94,Pikachu,2025-02-05 14:39:50+00:00,2025-02-05 14:40:00+00:00,2,150
95,Pikachu,2025-02-05 14:38:20+00:00,2025-02-05 14:38:30+00:00,1,80
96,Mickey,2025-02-05 14:37:50+00:00,2025-02-05 14:38:00+00:00,1,100
97,Scooby_Doo,2025-02-05 14:37:40+00:00,2025-02-05 14:37:50+00:00,2,95
98,Doraemon,2025-02-05 14:35:30+00:00,2025-02-05 14:35:40+00:00,1,70
99,Mickey,2025-02-05 14:16:20+00:00,2025-02-05 14:16:30+00:00,3,255
100,Homer_Simpson,2025-02-05 14:11:40+00:00,2025-02-05 14:11:50+00:00,2,85
101,Pikachu,2025-02-05 14:08:10+00:00,2025-02-05 14:08:20+00:00,2,160
102,Scooby_Doo,2025-02-05 14:08:00+00:00,2025-02-05 14:08:10+00:00,2,70
103,Jerry,2025-02-05 13:51:40+00:00,2025-02-05 13:51:50+00:00,3,135
104,Doraemon,2025-02-05 13:43:40+00:00,2025-02-05 13:43:50+00:00,1,60
105,Doraemon,2025-02-05 13:30:00+00:00,2025-02-05 13:30:10+00:00,1,70
106,Mickey,2025-02-05 13:26:00+00:00,2025-02-05 13:26:10+00:00,1,80
107,Pikachu,2025-02-05 13:23:50+00:00,2025-02-05 13:24:00+00:00,1,50
108,Tom,2025-02-05 12:58:00+00:00,2025-02-05 12:58:10+00:00,4,220
109,Scooby_Doo,2025-02-05 12:40:30+00:00,2025-02-05 12:40:40+00:00,1,70
110,SpongeBob,2025-02-05 12:28:30+00:00,2025-02-05 12:28:40+00:00,2,125
111,Scooby_Doo,2025-02-05 12:24:50+00:00,2025-02-05 12:25:00+00:00,1,35
112,Pikachu,2025-02-05 12:22:20+00:00,2025-02-05 12:22:30+00:00,1,80
113,SpongeBob,2025-02-05 12:19:50+00:00,2025-02-05 12:20:00+00:00,2,145
114,Doraemon,2025-02-05 12:14:30+00:00,2025-02-05 12:14:40+00:00,3,220
115,Bugs_Bunny,2025-02-05 12:13:50+00:00,2025-02-05 12:14:00+00:00,1,45
116,Homer_Simpson,2025-02-05 12:12:40+00:00,2025-02-05 12:12:50+00:00,2,110
117,Scooby_Doo,2025-02-05 12:10:00+00:00,2025-02-05 12:10:10+00:00,1,60
118,Tom,2025-02-05 12:08:40+00:00,2025-02-05 12:08:50+00:00,1,75
119,Jerry,2025-02-05 12:01:30+00:00,2025-02-05 12:01:40+00:00,1,50
120,Tom,2025-02-05 11:56:40+00:00,2025-02-05 11:56:50+00:00,1,45
121,Pikachu,2025-02-05 11:48:40+00:00,2025-02-05 11:48:50+00:00,1,100
122,SpongeBob,2025-02-05 11:39:10+00:00,2025-02-05 11:39:20+00:00,1,75
123,Scooby_Doo,2025-02-05 11:32:40+00:00,2025-02-05 11:32:50+00:00,1,60
124,Mickey,2025-02-05 11:26:20+00:00,2025-02-05 11:26:30+00:00,1,80
125,Pikachu,2025-02-05 11:24:30+00:00,2025-02-05 11:24:40+00:00,1,100
126,Jerry,2025-02-05 11:20:40+00:00,2025-02-05 11:20:50+00:00,3,160
127,Mickey,2025-02-05 11:11:10+00:00,2025-02-05 11:11:20+00:00,1,80
128,Jerry,2025-02-05 11:06:50+00:00,2025-02-05 11:07:00+00:00,2,95
129,Pikachu,2025-02-05 14:57:20+00:00,2025-02-05 14:57:30+00:00,1,50
130,Mickey,2025-02-05 14:40:00+00:00,2025-02-05 14:40:10+00:00,1,100
131,Homer_Simpson,2025-02-05 14:29:40+00:00,2025-02-05 14:29:50+00:00,1,60
132,Pikachu,2025-02-05 14:15:40+00:00,2025-02-05 14:15:50+00:00,2,150
133,Tom,2025-02-05 14:05:10+00:00,2025-02-05 14:05:20+00:00,1,45
134,Scooby_Doo,2025-02-05 14:00:50+00:00,2025-02-05 14:01:00+00:00,1,60
135,Pikachu,2025-02-05 13:59:10+00:00,2025-02-05 13:59:20+00:00,1,100
136,Homer_Simpson,2025-02-05 13:52:10+00:00,2025-02-05 13:52:20+00:00,1,50
137,Scooby_Doo,2025-02-05 13:36:30+00:00,2025-02-05 13:36:40+00:00,1,35
138,Homer_Simpson,2025-02-05 13:32:30+00:00,2025-02-05 13:32:40+00:00,1,75
139,Scooby_Doo,2025-02-05 13:10:00+00:00,2025-02-05 13:10:10+00:00,2,75
140,Doraemon,2025-02-05 12:58:20+00:00,2025-02-05 12:58:30+00:00,1,80
141,Jerry,2025-02-05 12:35:50+00:00,2025-02-05 12:36:00+00:00,1,50
142,Scooby_Doo,2025-02-05 12:35:20+00:00,2025-02-05 12:35:30+00:00,2,95
143,Bugs_Bunny,2025-02-05 12:22:00+00:00,2025-02-05 12:22:10+00:00,2,90
144,Doraemon,2025-02-05 12:14:10+00:00,2025-02-05 12:14:20+00:00,1,75
145,Bugs_Bunny,2025-02-05 12:03:10+00:00,2025-02-05 12:03:20+00:00,1,30
146,Jerry,2025-02-05 11:57:40+00:00,2025-02-05 11:57:50+00:00,1,35
147,Pikachu,2025-02-05 11:52:00+00:00,2025-02-05 11:52:10+00:00,4,300
148,Tom,2025-02-05 11:45:10+00:00,2025-02-05 11:45:20+00:00,1,30
149,Bugs_Bunny,2025-02-05 11:39:50+00:00,2025-02-05 11:40:00+00:00,1,35
150,Tom,2025-02-05 11:29:20+00:00,2025-02-05 11:29:30+00:00,1,40
151,SpongeBob,2025-02-05 11:19:10+00:00,2025-02-05 11:19:20+00:00,3,225
152,SpongeBob,2025-02-05 11:13:30+00:00,2025-02-05 11:13:40+00:00,1,75
153,Jerry,2025-02-05 11:11:20+00:00,2025-02-05 11:11:30+00:00,1,50
154,Bugs_Bunny,2025-02-05 11:03:50+00:00,2025-02-05 11:04:00+00:00,2,60
155,Scooby_Doo,2025-02-05 11:03:30+00:00,2025-02-05 11:03:40+00:00,1,50
156,Scooby_Doo,2025-02-05 14:46:20+00:00,2025-02-05 14:46:30+00:00,1,60
157,Mickey,2025-02-05 14:31:10+00:00,2025-02-05 14:31:20+00:00,1,80
158,Mickey,2025-02-05 14:26:10+00:00,2025-02-05 14:26:20+00:00,1,80
159,Homer_Simpson,2025-02-05 14:25:00+00:00,2025-02-05 14:25:10+00:00,1,75
160,Mickey,2025-02-05 14:21:50+00:00,2025-02-05 14:22:00+00:00,2,200
161,Mickey,2025-02-05 14:21:00+00:00,2025-02-05 14:21:10+00:00,1,75
162,Homer_Simpson,2025-02-05 14:13:00+00:00,2025-02-05 14:13:10+00:00,1,30
163,Doraemon,2025-02-05 14:10:00+00:00,2025-02-05 14:10:10+00:00,1,70
164,SpongeBob,2025-02-05 13:54:30+00:00,2025-02-05 13:54:40+00:00,1,75
165,Mickey,2025-02-05 13:45:40+00:00,2025-02-05 13:45:50+00:00,1,40
166,Tom,2025-02-05 13:37:40+00:00,2025-02-05 13:37:50+00:00,1,45
167,Doraemon,2025-02-05 13:37:30+00:00,2025-02-05 13:37:40+00:00,1,100
168,Pikachu,2025-02-05 13:37:20+00:00,2025-02-05 13:37:30+00:00,1,80
169,Bugs_Bunny,2025-02-05 13:35:50+00:00,2025-02-05 13:36:00+00:00,1,45
170,Bugs_Bunny,2025-02-05 13:33:40+00:00,2025-02-05 13:33:50+00:00,2,75
171,SpongeBob,2025-02-05 13:30:20+00:00,2025-02-05 13:30:30+00:00,1,50
172,Homer_Simpson,2025-02-05 13:21:20+00:00,2025-02-05 13:21:30+00:00,1,75
173,Jerry,2025-02-05 13:12:40+00:00,2025-02-05 13:12:50+00:00,2,140
174,Mickey,2025-02-05 13:11:00+00:00,2025-02-05 13:11:10+00:00,1,100
175,Scooby_Doo,2025-02-05 13:05:40+00:00,2025-02-05 13:05:50+00:00,1,40
176,Bugs_Bunny,2025-02-05 12:57:20+00:00,2025-02-05 12:57:30+00:00,5,200
177,Mickey,2025-02-05 12:56:40+00:00,2025-02-05 12:56:50+00:00,3,160
178,Bugs_Bunny,2025-02-05 12:30:30+00:00,2025-02-05 12:30:40+00:00,1,45
179,Jerry,2025-02-05 12:21:00+00:00,2025-02-05 12:21:10+00:00,2,70
180,Jerry,2025-02-05 12:15:30+00:00,2025-02-05 12:15:40+00:00,3,105
181,Homer_Simpson,2025-02-05 11:43:00+00:00,2025-02-05 11:43:10+00:00,1,45
182,Pikachu,2025-02-05 11:40:10+00:00,2025-02-05 11:40:20+00:00,1,50
183,Jerry,2025-02-05 11:34:00+00:00,2025-02-05 11:34:10+00:00,2,70
184,Bugs_Bunny,2025-02-05 11:25:30+00:00,2025-02-05 11:25:40+00:00,2,75
185,Pikachu,2025-02-05 11:25:20+00:00,2025-02-05 11:25:30+00:00,3,225
186,Mickey,2025-02-05 11:09:20+00:00,2025-02-05 11:09:30+00:00,1,100
187,Homer_Simpson,2025-02-05 11:07:40+00:00,2025-02-05 11:07:50+00:00,2,95
188,Bugs_Bunny,2025-02-05 14:57:20+00:00,2025-02-05 14:57:30+00:00,1,30
189,SpongeBob,2025-02-05 14:40:10+00:00,2025-02-05 14:40:20+00:00,2,150
190,Tom,2025-02-05 14:35:00+00:00,2025-02-05 14:35:10+00:00,2,120
191,Mickey,2025-02-05 14:34:10+00:00,2025-02-05 14:34:20+00:00,1,80
192,Jerry,2025-02-05 14:26:50+00:00,2025-02-05 14:27:00+00:00,2,100
193,Doraemon,2025-02-05 14:26:40+00:00,2025-02-05 14:26:50+00:00,3,160
194,Pikachu,2025-02-05 14:25:20+00:00,2025-02-05 14:25:30+00:00,1,50
195,Scooby_Doo,2025-02-05 14:21:40+00:00,2025-02-05 14:21:50+00:00,2,120
196,Jerry,2025-02-05 14:19:40+00:00,2025-02-05 14:19:50+00:00,1,35
197,Tom,2025-02-05 14:16:40+00:00,2025-02-05 14:16:50+00:00,1,75
198,Bugs_Bunny,2025-02-05 14:15:40+00:00,2025-02-05 14:15:50+00:00,1,30
199,Homer_Simpson,2025-02-05 14:09:50+00:00,2025-02-05 14:10:00+00:00,1,75
200,Bugs_Bunny,2025-02-05 14:08:50+00:00,2025-02-05 14:09:00+00:00,1,30
201,Bugs_Bunny,2025-02-05 13:59:10+00:00,2025-02-05 13:59:20+00:00,1,70
202,Bugs_Bunny,2025-02-05 13:51:50+00:00,2025-02-05 13:52:00+00:00,1,45
203,Scooby_Doo,2025-02-05 13:50:10+00:00,2025-02-05 13:50:20+00:00,2,120
204,Homer_Simpson,2025-02-05 13:50:00+00:00,2025-02-05 13:50:10+00:00,1,75
205,SpongeBob,2025-02-05 13:44:50+00:00,2025-02-05 13:45:00+00:00,1,50
206,Mickey,2025-02-05 13:38:30+00:00,2025-02-05 13:38:40+00:00,1,100
207,Jerry,2025-02-05 13:26:10+00:00,2025-02-05 13:26:20+00:00,2,85
208,Jerry,2025-02-05 13:21:00+00:00,2025-02-05 13:21:10+00:00,1,100
209,Doraemon,2025-02-05 13:07:40+00:00,2025-02-05 13:07:50+00:00,2,150
210,Homer_Simpson,2025-02-05 13:06:40+00:00,2025-02-05 13:06:50+00:00,1,100
211,Jerry,2025-02-05 13:04:10+00:00,2025-02-05 13:04:20+00:00,1,35
212,SpongeBob,2025-02-05 12:46:30+00:00,2025-02-05 12:46:40+00:00,3,200
213,Jerry,2025-02-05 12:43:40+00:00,2025-02-05 12:43:50+00:00,1,35
214,Tom,2025-02-05 12:41:00+00:00,2025-02-05 12:41:10+00:00,2,160
215,Pikachu,2025-02-05 12:22:00+00:00,2025-02-05 12:22:10+00:00,1,50
216,Doraemon,2025-02-05 12:17:10+00:00,2025-02-05 12:17:20+00:00,1,75
217,Mickey,2025-02-05 12:16:40+00:00,2025-02-05 12:16:50+00:00,1,80
218,Homer_Simpson,2025-02-05 12:07:40+00:00,2025-02-05 12:07:50+00:00,2,100
219,Scooby_Doo,2025-02-05 11:53:10+00:00,2025-02-05 11:53:20+00:00,1,60
220,Bugs_Bunny,2025-02-05 11:52:00+00:00,2025-02-05 11:52:10+00:00,1,45
221,Homer_Simpson,2025-02-05 11:46:10+00:00,2025-02-05 11:46:20+00:00,1,60
222,Pikachu,2025-02-05 11:39:50+00:00,2025-02-05 11:40:00+00:00,1,100
223,Pikachu,2025-02-05 11:24:50+00:00,2025-02-05 11:25:00+00:00,1,50
224,SpongeBob,2025-02-05 11:22:10+00:00,2025-02-05 11:22:20+00:00,1,50
225,Homer_Simpson,2025-02-05 11:19:30+00:00,2025-02-05 11:19:40+00:00,1,30
226,SpongeBob,2025-02-05 11:17:00+00:00,2025-02-05 11:17:10+00:00,1,75
227,SpongeBob,2025-02-05 11:04:10+00:00,2025-02-05 11:04:20+00:00,2,100
228,Pikachu,2025-02-05 11:03:50+00:00,2025-02-05 11:04:00+00:00,1,100
229,Pikachu,2025-02-05 14:47:00+00:00,2025-02-05 14:47:10+00:00,1,100
230,Mickey,2025-02-05 14:44:10+00:00,2025-02-05 14:44:20+00:00,2,150
231,SpongeBob,2025-02-05 14:38:20+00:00,2025-02-05 14:38:30+00:00,2,115
232,Tom,2025-02-05 14:34:30+00:00,2025-02-05 14:34:40+00:00,1,75
233,Tom,2025-02-05 14:22:50+00:00,2025-02-05 14:23:00+00:00,1,30
234,Jerry,2025-02-05 14:22:30+00:00,2025-02-05 14:22:40+00:00,1,35
235,Bugs_Bunny,2025-02-05 14:21:30+00:00,2025-02-05 14:21:40+00:00,3,120
236,Jerry,2025-02-05 14:19:50+00:00,2025-02-05 14:20:00+00:00,1,35
237,SpongeBob,2025-02-05 14:15:30+00:00,2025-02-05 14:15:40+00:00,1,50
238,Mickey,2025-02-05 14:14:30+00:00,2025-02-05 14:14:40+00:00,1,100
239,SpongeBob,2025-02-05 14:08:10+00:00,2025-02-05 14:08:20+00:00,2,105
240,Mickey,2025-02-05 14:04:40+00:00,2025-02-05 14:04:50+00:00,1,100
241,Doraemon,2025-02-05 14:04:10+00:00,2025-02-05 14:04:20+00:00,2,100
242,Jerry,2025-02-05 13:53:40+00:00,2025-02-05 13:53:50+00:00,1,70
243,Tom,2025-02-05 13:47:50+00:00,2025-02-05 13:48:00+00:00,2,90
244,Doraemon,2025-02-05 13:46:20+00:00,2025-02-05 13:46:30+00:00,3,205
245,Bugs_Bunny,2025-02-05 13:29:50+00:00,2025-02-05 13:30:00+00:00,2,75
246,SpongeBob,2025-02-05 13:23:50+00:00,2025-02-05 13:24:00+00:00,1,75
247,Mickey,2025-02-05 13:23:10+00:00,2025-02-05 13:23:20+00:00,1,50
248,SpongeBob,2025-02-05 13:22:30+00:00,2025-02-05 13:22:40+00:00,2,150
249,Mickey,2025-02-05 13:15:40+00:00,2025-02-05 13:15:50+00:00,1,80
250,Doraemon,2025-02-05 13:10:10+00:00,2025-02-05 13:10:20+00:00,4,285
251,Scooby_Doo,2025-02-05 13:08:30+00:00,2025-02-05 13:08:40+00:00,1,60
252,Mickey,2025-02-05 13:01:50+00:00,2025-02-05 13:02:00+00:00,1,100
253,Homer_Simpson,2025-02-05 12:51:40+00:00,2025-02-05 12:51:50+00:00,1,75
254,Bugs_Bunny,2025-02-05 12:44:30+00:00,2025-02-05 12:44:40+00:00,2,90
255,Tom,2025-02-05 12:42:40+00:00,2025-02-05 12:42:50+00:00,1,75
256,Pikachu,2025-02-05 12:37:50+00:00,2025-02-05 12:38:00+00:00,2,200
257,Tom,2025-02-05 12:37:20+00:00,2025-02-05 12:37:30+00:00,1,80
258,Scooby_Doo,2025-02-05 12:35:00+00:00,2025-02-05 12:35:10+00:00,5,285
259,Mickey,2025-02-05 12:33:40+00:00,2025-02-05 12:33:50+00:00,1,80
260,Jerry,2025-02-05 12:31:40+00:00,2025-02-05 12:31:50+00:00,1,80
261,Bugs_Bunny,2025-02-05 12:29:00+00:00,2025-02-05 12:29:10+00:00,1,45
262,Pikachu,2025-02-05 12:28:30+00:00,2025-02-05 12:28:40+00:00,2,100
263,Pikachu,2025-02-05 12:19:50+00:00,2025-02-05 12:20:00+00:00,1,100
264,Doraemon,2025-02-05 12:19:20+00:00,2025-02-05 12:19:30+00:00,1,70
265,Homer_Simpson,2025-02-05 12:17:40+00:00,2025-02-05 12:17:50+00:00,2,100
266,Scooby_Doo,2025-02-05 12:12:00+00:00,2025-02-05 12:12:10+00:00,1,60
267,Homer_Simpson,2025-02-05 12:09:20+00:00,2025-02-05 12:09:30+00:00,1,50
268,Scooby_Doo,2025-02-05 12:03:40+00:00,2025-02-05 12:03:50+00:00,1,35
269,Homer_Simpson,2025-02-05 12:00:30+00:00,2025-02-05 12:00:40+00:00,1,70
270,Bugs_Bunny,2025-02-05 11:56:20+00:00,2025-02-05 11:56:30+00:00,1,60
271,Bugs_Bunny,2025-02-05 11:49:50+00:00,2025-02-05 11:50:00+00:00,1,30
272,SpongeBob,2025-02-05 11:48:40+00:00,2025-02-05 11:48:50+00:00,1,70
273,Pikachu,2025-02-05 11:39:10+00:00,2025-02-05 11:39:20+00:00,2,150
274,SpongeBob,2025-02-05 11:33:10+00:00,2025-02-05 11:33:20+00:00,3,200
275,Scooby_Doo,2025-02-05 11:32:50+00:00,2025-02-05 11:33:00+00:00,1,100
276,Doraemon,2025-02-05 11:19:00+00:00,2025-02-05 11:19:10+00:00,1,70
277,Doraemon,2025-02-05 11:12:50+00:00,2025-02-05 11:13:00+00:00,3,210
278,Tom,2025-02-05 14:47:00+00:00,2025-02-05 14:47:10+00:00,1,45
279,Bugs_Bunny,2025-02-05 14:36:10+00:00,2025-02-05 14:36:20+00:00,4,135
280,Pikachu,2025-02-05 14:34:30+00:00,2025-02-05 14:34:40+00:00,1,50
281,Doraemon,2025-02-05 14:33:40+00:00,2025-02-05 14:33:50+00:00,4,285
282,Bugs_Bunny,2025-02-05 14:31:40+00:00,2025-02-05 14:31:50+00:00,2,75
283,Mickey,2025-02-05 14:27:50+00:00,2025-02-05 14:28:00+00:00,2,140
284,Pikachu,2025-02-05 14:22:50+00:00,2025-02-05 14:23:00+00:00,1,100
285,Doraemon,2025-02-05 14:20:20+00:00,2025-02-05 14:20:30+00:00,2,145
286,Scooby_Doo,2025-02-05 14:19:10+00:00,2025-02-05 14:19:20+00:00,1,50
287,Scooby_Doo,2025-02-05 14:12:20+00:00,2025-02-05 14:12:30+00:00,1,35
288,Mickey,2025-02-05 14:06:20+00:00,2025-02-05 14:06:30+00:00,2,130
289,Homer_Simpson,2025-02-05 14:06:00+00:00,2025-02-05 14:06:10+00:00,2,105
290,Scooby_Doo,2025-02-05 14:02:30+00:00,2025-02-05 14:02:40+00:00,1,60
291,Homer_Simpson,2025-02-05 14:00:30+00:00,2025-02-05 14:00:40+00:00,1,70
292,Homer_Simpson,2025-02-05 13:57:40+00:00,2025-02-05 13:57:50+00:00,1,50
293,Pikachu,2025-02-05 13:47:50+00:00,2025-02-05 13:48:00+00:00,2,100
294,Jerry,2025-02-05 13:28:00+00:00,2025-02-05 13:28:10+00:00,2,85
295,Scooby_Doo,2025-02-05 13:23:00+00:00,2025-02-05 13:23:10+00:00,1,60
296,Doraemon,2025-02-05 13:09:00+00:00,2025-02-05 13:09:10+00:00,1,70
297,Mickey,2025-02-05 12:52:30+00:00,2025-02-05 12:52:40+00:00,2,140
